Bet On, Bet Against, Confidence, Amount to Invest, Current Price
mirza-basic,adam-pavlasek,6.224007662737145,22.5,165.0
dusan-lajovic,alexander-zverev,8.873287000154194,22.5,850.0
damir-dzumhur,alexander-zverev,9.133407098101818,22.5,1170.0
ricardas-berankis,alexander-zverev,7.683738323680141,22.5,2750.0
benoit-paire,kei-nishikori,0.6509272919760811,22.5,350.0
marco-trungelliti,bernard-tomic,5.224186015683552,22.5,115.0
diego-schwartzman,borna-coric,4.1247691278872285,22.5,130.0
thomas-fabbiano,borna-coric,1.2301088157531612,22.5,938.0
cameron-norrie,peter-gojowczyk,1.7015541287568898,22.5,160.0
cameron-norrie,lucas-pouille,4.858454750239394,22.5,555.0
daniil-medvedev,lucas-pouille,1.0241648998666317,22.5,370.0
denis-istomin,roberto-bautista-agut,0.850961961244282,22.500000000000004,850.0
marco-cecchinato,dominic-thiem,7.952913914197756,22.5,548.0
jiri-vesely,dusan-lajovic,5.970637883458818,22.5,180.0
matteo-berrettini,ernests-gulbis,5.042792392331501,22.5,115.0
florian-mayer,mischa-zverev,4.697057630932122,22.5,185.0
gilles-muller,ernests-gulbis,1.0546673152406338,22.5,195.0
nikoloz-basilashvili,gilles-simon,6.153689989676843,22.5,160.0
jared-donaldson,grigor-dimitrov,8.277906974156698,22.5,500.0
fernando-verdasco,grigor-dimitrov,4.820420344670613,22.5,140.0
ilya-ivashka,dominic-thiem,2.887634649714817,22.5,1315.0
evgeny-donskoy,jan-lennard-struff,5.19707064779978,22.5,215.0
john-millman,denis-shapovalov,0.8469653981072561,22.5,180.0
albert-ramos-vinolas,juan-martin-del-potro,7.50839076480087,22.5,390.0
marin-cilic,juan-martin-del-potro,1.2279588245508966,22.5,185.0
nicolas-mahut,juan-martin-del-potro,5.023989915847778,22.5,900.0
john-isner,juan-martin-del-potro,4.670413822838754,22.5,230.0
ruben-bemelmans,jurgen-zopp,2.731302810269733,22.5,115.0
lucas-pouille,karen-khachanov,4.757391864603216,22.5,450.0
pablo-cuevas,kevin-anderson,5.43118877844377,22.5,120.0
paolo-lorenzi,kevin-anderson,6.837392711639404,22.500000000000004,525.0
marton-fucsovics,kyle-edmund,4.62667567389352,22.5,250.0
alex-de-minaur,kyle-edmund,7.993971163576299,22.5,450.0
fabio-fognini,kyle-edmund,5.018438217116565,22.5,105.0
marco-trungelliti,marco-cecchinato,1.4914939495233388,22.500000000000004,160.0
oscar-otte,matteo-berrettini,3.36245854695638,22.5,140.0
matteo-berrettini,dominic-thiem,3.5075740195010696,22.5,1213.0
ryan-harrison,maximilian-marterer,0.3855936055959658,22.5,115.0
mikhail-youzhny,malek-jaziri,4.095812419505968,22.5,265.0
sergiy-stakhovsky,mischa-zverev,5.886265502047183,22.5,168.0
marco-cecchinato,novak-djokovic,8.963524337877264,22.5,865.0
rogerio-dutra-silva,novak-djokovic,9.020780868000454,22.5,1025.0
roberto-bautista-agut,novak-djokovic,8.0,22.5,400.0
jozef-kovalik,pablo-carreno-busta,8.087588435127621,22.5,425.0
aljaz-bedene,pablo-cuevas,4.3862137340364,22.5,110.0
peter-polansky,pierre-hugues-herbert,7.12356681796326,22.5,248.0
radu-albot,gregoire-barrere,4.999999236336734,22.5,100.0
andreas-seppi,richard-gasquet,1.086701047954275,22.5,235.0
yuki-bhambri,ruben-bemelmans,0.2971160411834717,22.5,100.0
marcos-baghdatis,santiago-giraldo,6.100855529770371,22.499999999999996,158.0
guillermo-garcia-lopez,stan-wawrinka,5.6521715288576875,22.500000000000004,130.0
jan-lennard-struff,steve-johnson,5.168230268690321,22.5,125.0
taylor-fritz,guido-andreozzi,0.45384233852602374,22.5,165.0
thomaz-bellucci,federico-delbonis,3.866538759672417,22.5,165.0
jeremy-chardy,tomas-berdych,6.225381549799217,22.5,165.0
